N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"68,700","1,200",+1.78%,100,"4,101,241","5,969,783",56.60,"20,904,716",18.76,8.69,
2,SK하이닉스,"99,900",100,-0.10%,"5,000","727,274","728,002",50.19,"1,730,590",25.34,4.25,
3,LG화학,"779,000","31,000",+4.14%,"5,000","549,914","70,592",41.66,"358,629",72.78,1.84,
4,삼성바이오로직스,"797,000","7,000",-0.87%,"2,500","527,335","66,165",10.07,"83,900",148.39,4.77,
5,삼성전자우,"62,100","1,100",+1.80%,100,"511,013","822,887",85.97,"2,753,551",16.96,N/A,
6,NAVER,"282,500","1,000",+0.36%,100,"464,044","164,263",55.80,"498,992",56.24,10.56,
7,셀트리온,"301,500",500,+0.17%,"1,000","407,018","134,998",20.45,"496,823",79.91,11.19,
8,현대차,"180,500","1,500",+0.84%,"5,000","385,671","213,668",31.02,"993,568",43.13,4.32,
9,삼성SDI,"544,000","18,000",+3.42%,"5,000","374,079","68,765",43.68,"301,365",185.60,2.94,
10,카카오,"372,500","5,500",+1.50%,500,"328,842","88,280",32.19,"419,615",-413.43,-5.81,
11,LG생활건강,"1,545,000","20,000",-1.28%,"5,000","241,301","15,618",45.73,"14,219",34.62,20.32,
12,기아차,"59,400",100,+0.17%,"5,000","240,786","405,363",38.01,"1,114,916",27.60,6.50,
13,삼성물산,"125,000","2,500",+2.04%,100,"233,609","186,887",14.29,"521,569",21.84,4.77,
14,현대모비스,"245,500","2,000",-0.81%,"5,000","233,359","95,055",43.31,"174,123",13.37,7.28,
15,POSCO,"246,000","2,500",+1.03%,"5,000","214,480","87,187",51.13,"189,713",23.38,4.18,
16,KB금융,"46,000",450,-0.97%,"5,000","191,272","415,808",66.01,"704,734",6.02,8.92,
17,SK텔레콤,"230,000","1,000",-0.43%,500,"185,715","80,746",34.08,"77,631",16.94,3.92,
18,엔씨소프트,"813,000","9,000",-1.09%,500,"178,486","21,954",48.15,"44,649",34.24,14.72,
19,신한지주,"33,950",0,0.00%,"5,000","175,361","516,527",57.95,"1,172,536",5.10,9.09,
20,SK,"215,000",500,+0.23%,200,"151,275","70,360",21.81,"94,574",-414.26,4.31,
21,삼성생명,"75,600",600,+0.80%,500,"151,200","200,000",12.26,"413,705",16.81,3.26,
22,SK이노베이션,"157,500","3,500",+2.27%,"5,000","145,633","92,466",24.04,"584,260",-5.99,-0.20,
23,LG전자,"88,400",800,-0.90%,"5,000","144,665","163,648",35.89,"450,999",19.20,0.22,
24,한국전력,"22,450",900,+4.18%,"5,000","144,121","641,964",16.78,"9,686,941",155.90,-3.42,
25,삼성에스디에스,"178,500",0,0.00%,500,"138,119","77,378",12.30,"67,247",26.35,11.76,
26,SK바이오팜,"173,500","3,000",+1.76%,500,"135,873","78,313",3.06,"240,987",-157.73,-313.66,
27,LG,"77,000","1,100",+1.45%,"5,000","132,869","172,557",34.73,"195,714",10.88,5.87,
28,KT&G,"86,600",200,+0.23%,"5,000","118,895","137,292",41.52,"165,444",12.08,12.39,
29,아모레퍼시픽,"195,500","1,500",-0.76%,500,"114,286","58,458",31.40,"158,615",98.29,5.36,
30,삼성전기,"150,500","1,500",-0.99%,"5,000","112,414","74,694",34.46,"261,211",30.83,10.18,
31,넷마블,"128,000","3,000",-2.29%,100,"109,881","85,844",22.56,"246,579",52.96,3.54,
32,하나금융지주,"35,500",300,-0.84%,"5,000","106,586","300,242",65.01,"736,823",4.21,8.77,
33,롯데케미칼,"288,500",500,-0.17%,"5,000","98,885","34,275",27.01,"168,543",85.28,5.51,
